DEPTH,GR,Rt,RHOB,NPHI,Delta_tc_m
2106.000,55.315,41.993,2729.732,19.442,218.239
2106.125,46.849,47.918,2684.776,20.444,225.859
2106.250,39.440,55.298,2546.362,21.201,236.457
2106.375,33.743,64.674,2401.586,19.590,244.900
2106.500,29.155,75.555,2340.779,15.539,251.914
2106.625,24.709,86.679,2329.195,11.395,255.940
2106.750,21.122,96.565,2357.771,8.736,252.119
2106.875,19.583,103.814,2399.779,7.658,241.784
2107.000,20.137,107.137,2431.416,7.423,232.976
2107.125,21.704,107.994,2445.244,7.254,229.742
2107.250,22.893,107.937,2459.726,6.948,228.449
2107.375,23.340,107.836,2467.892,6.608,226.579
2107.500,23.071,108.299,2470.708,6.333,224.261
2107.625,22.926,109.627,2473.632,6.264,221.392
2107.750,23.225,111.413,2479.287,6.467,218.236
2107.875,23.586,113.429,2484.154,6.849,216.517
2108.000,23.084,116.236,2479.553,7.312,218.236
2108.125,21.599,120.445,2457.393,7.792,223.510
2108.250,19.767,126.532,2425.000,8.173,231.751
2108.375,18.853,134.368,2394.366,8.405,242.682
2108.500,19.047,143.158,2376.988,8.583,253.336
2108.625,19.407,151.532,2372.818,8.654,258.486
2108.750,19.671,157.094,2379.285,8.551,256.856
2108.875,20.442,157.828,2389.491,8.412,251.749
2109.000,21.653,154.047,2399.114,8.478,246.353
2109.125,23.022,146.877,2400.477,8.927,248.941
2109.250,24.254,137.657,2393.824,9.650,264.841
2109.375,24.876,127.628,2383.082,10.077,283.615
2109.500,24.863,117.353,2385.242,9.471,290.191
2109.625,24.519,107.344,2403.284,8.213,275.702
2109.750,24.199,97.924,2434.874,7.047,243.278
2109.875,24.766,89.010,2466.252,6.414,216.315
2110.000,27.277,80.943,2488.667,6.337,213.352
2110.125,32.084,74.004,2500.691,6.806,222.451
2110.250,37.676,68.291,2512.329,7.512,225.974
2110.375,41.458,63.595,2522.619,8.157,224.189
2110.500,42.297,59.740,2528.965,8.334,222.380
2110.625,40.889,56.823,2529.407,8.008,221.351
2110.750,39.142,54.968,2524.287,7.579,219.429
2110.875,39.104,54.077,2519.067,7.450,216.845
2111.000,40.495,54.051,2519.611,7.618,215.696
2111.125,41.628,54.755,2521.680,7.908,216.474
2111.250,41.382,56.005,2519.511,8.067,218.180
2111.375,40.457,57.546,2512.660,8.141,219.622
2111.500,39.715,59.087,2502.978,8.208,221.098
2111.625,39.328,60.402,2492.672,8.271,222.790
2111.750,38.058,61.431,2487.742,8.328,223.624
2111.875,35.456,61.926,2487.220,8.378,223.687
2112.000,32.310,61.762,2490.671,8.313,224.886
2112.125,30.983,61.117,2494.979,8.178,226.612
2112.250,33.094,60.211,2500.797,8.212,226.418
2112.375,37.816,59.099,2506.722,8.618,224.721
2112.500,42.445,57.748,2515.435,9.504,223.300
2112.625,44.725,56.054,2521.121,10.564,223.067
2112.750,44.062,54.023,2520.924,11.177,223.906
2112.875,41.954,51.756,2511.872,10.899,225.191
2113.000,40.124,49.522,2497.963,10.142,226.065
2113.125,39.754,47.630,2489.449,9.516,225.871
2113.250,41.053,46.241,2490.860,9.370,224.708
2113.375,43.605,45.216,2501.122,9.713,223.134
2113.500,46.198,44.280,2515.775,10.241,220.830
2113.625,47.831,43.172,2530.955,10.558,218.184
2113.750,47.798,41.771,2540.490,10.496,217.348
2113.875,46.257,40.165,2543.711,10.213,218.917
2114.000,44.848,38.590,2537.353,10.015,220.993
